image_name,image_url,images,URL
sir_ken_robinson_do_schools_kill_creativity.png,https://pe.tedcdn.com/images/ted/1465_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1465_254x191.jpg', 'path': 'headshot/full/sir_ken_robinson_do_schools_kill_creativity.png', 'checksum': 'c4948178aaf557f27f21977c4f767e2d'}]",https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
al_gore_averting_the_climate_crisis.png,https://pe.tedcdn.com/images/ted/93b12c098c0aa57e9bf54d2ce8b95a0e3701de9c_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/93b12c098c0aa57e9bf54d2ce8b95a0e3701de9c_254x191.jpg', 'path': 'headshot/full/al_gore_averting_the_climate_crisis.png', 'checksum': '317cb772a1b6da40dd83c56847debdc4'}]",https://www.ted.com/talks/al_gore_on_averting_climate_crisis
david_pogue_simplicity_sells.png,https://pe.tedcdn.com/images/ted/1437_253x190.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1437_253x190.jpg', 'path': 'headshot/full/david_pogue_simplicity_sells.png', 'checksum': 'da3eecdaf336feb9d87d66c963c46751'}]",https://www.ted.com/talks/david_pogue_says_simplicity_sells
majora_carter_greening_the_ghetto.png,https://pe.tedcdn.com/images/ted/1320_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1320_254x191.jpg', 'path': 'headshot/full/majora_carter_greening_the_ghetto.png', 'checksum': 'f9f03b5432ef376ca9cb1d2c449ba005'}]",https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
hans_rosling_the_best_stats_you_ve_ever_seen.png,https://pe.tedcdn.com/images/ted/2bd4d0cfff0c3a3306650768c2f988e154db7042_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/2bd4d0cfff0c3a3306650768c2f988e154db7042_254x191.jpg', 'path': 'headshot/full/hans_rosling_the_best_stats_you_ve_ever_seen.png', 'checksum': '9e67f8432dc25d0209fc670d2d617ffe'}]",https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
tony_robbins_why_we_do_what_we_do.png,https://pe.tedcdn.com/images/ted/d49ff1134376281d41da6846c495eb3c139f8ccd_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/d49ff1134376281d41da6846c495eb3c139f8ccd_254x191.jpg', 'path': 'headshot/full/tony_robbins_why_we_do_what_we_do.png', 'checksum': 'afb2684bb8f478f6111a0c0a3ee5582c'}]",https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
julia_sweeney_letting_go_of_god.png,https://pe.tedcdn.com/images/ted/348fd730524d9f353f310881f31b6adb69157184_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/348fd730524d9f353f310881f31b6adb69157184_254x191.jpg', 'path': 'headshot/full/julia_sweeney_letting_go_of_god.png', 'checksum': '8b9cf5db899eb87329c859e1efdf10d4'}]",https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
joshua_prince_ramus_behind_the_design_of_seattle_s_library.png,https://pe.tedcdn.com/images/ted/1482_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1482_254x191.jpg', 'path': 'headshot/full/joshua_prince_ramus_behind_the_design_of_seattle_s_library.png', 'checksum': 'd76653838fe2b460c81183d14a9a18d5'}]",https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
dan_dennett_let_s_teach_religion_all_religion_in_schools.png,https://pe.tedcdn.com/images/ted/185dfcae13ba50e25923e1d2b6eadd199a122241_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/185dfcae13ba50e25923e1d2b6eadd199a122241_254x191.jpg', 'path': 'headshot/full/dan_dennett_let_s_teach_religion_all_religion_in_schools.png', 'checksum': 'c1da9503092cd820b296dc209a18ebd0'}]",https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
rick_warren_a_life_of_purpose.png,https://pe.tedcdn.com/images/ted/1368_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1368_254x191.jpg', 'path': 'headshot/full/rick_warren_a_life_of_purpose.png', 'checksum': '20184f0a7a97ef07181112256d63ddea'}]",https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
cameron_sinclair_my_wish_a_call_for_open_source_architecture.png,https://pe.tedcdn.com/images/ted/1319_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1319_254x191.jpg', 'path': 'headshot/full/cameron_sinclair_my_wish_a_call_for_open_source_architecture.png', 'checksum': '237bbf2cbc8dbeb1312f932e3916223f'}]",https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
jehane_noujaim_my_wish_a_global_day_of_film.png,https://pe.tedcdn.com/images/ted/1315_253x190.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1315_253x190.jpg', 'path': 'headshot/full/jehane_noujaim_my_wish_a_global_day_of_film.png', 'checksum': '48c2ac24e8d813036937f2b071df2990'}]",https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
larry_brilliant_my_wish_help_me_stop_pandemics.png,https://pe.tedcdn.com/images/ted/1467_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1467_254x191.jpg', 'path': 'headshot/full/larry_brilliant_my_wish_help_me_stop_pandemics.png', 'checksum': '527e783fb238967a535f6ce1360618af'}]",https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
jeff_han_the_radical_promise_of_the_multi_touch_interface.png,https://pe.tedcdn.com/images/ted/1613_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/1613_254x191.jpg', 'path': 'headshot/full/jeff_han_the_radical_promise_of_the_multi_touch_interface.png', 'checksum': 'e77c09506a30278c3c90227fd20e747f'}]",https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
nicholas_negroponte_one_laptop_per_child.png,https://pe.tedcdn.com/images/ted/7230935c0d873ed58b2786e1f3b5c93dc09e10cc_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/7230935c0d873ed58b2786e1f3b5c93dc09e10cc_254x191.jpg', 'path': 'headshot/full/nicholas_negroponte_one_laptop_per_child.png', 'checksum': '2e8deabc93d0d88c86f9b2940f2bcdfa'}]",https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
sirena_huang_an_11_year_old_s_magical_violin.png,https://pe.tedcdn.com/images/ted/7bddd300804000ead3db986c213938a6c7c70303_254x191.jpg,"[{'url': 'https://pe.tedcdn.com/images/ted/7bddd300804000ead3db986c213938a6c7c70303_254x191.jpg', 'path': 'headshot/full/sirena_huang_an_11_year_old_s_magical_violin.png', 'checksum': '7c2764664c90a5819ff473ce653b2a6b'}]",https://www.ted.com/talks/sirena_huang_dazzles_on_violin
